City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Albany,42.6001,-73.9662,41.41,65,15,1.01,US,few clouds
1,Manokwari,-0.8667,134.0833,78.84,83,100,2.46,ID,overcast clouds
2,Iqaluit,63.7506,-68.5145,15.53,66,75,13.8,CA,light snow
3,Hermanus,-34.4187,19.2345,57.67,69,40,4.83,ZA,scattered clouds
4,Rikitea,-23.1203,-134.9692,74.91,77,7,12.75,PF,clear sky
5,Tasiilaq,65.6145,-37.6368,31.14,96,100,10.54,GL,snow
6,Puerto Ayora,-0.7393,-90.3518,69.55,94,60,4.0,EC,broken clouds
7,Satana,20.5833,74.2,68.18,54,98,3.11,IN,overcast clouds
8,Busselton,-33.65,115.3333,67.6,57,70,15.64,AU,broken clouds
9,Atar,20.5169,-13.0499,64.22,23,0,3.91,MR,clear sky
10,Avarua,-21.2078,-159.775,84.25,79,100,8.05,CK,overcast clouds
11,Arraial Do Cabo,-22.9661,-42.0278,72.79,91,97,25.57,BR,overcast clouds
12,Atuona,-9.8,-139.0333,77.67,78,2,14.88,PF,light rain
13,Nishihara,26.1842,127.7558,76.68,89,40,4.61,JP,scattered clouds
14,Norman Wells,65.282,-126.8329,30.24,51,100,24.16,CA,overcast clouds
15,Kavieng,-2.5744,150.7967,80.4,78,100,5.46,PG,overcast clouds
16,Padang,-0.9492,100.3543,73.45,92,100,4.56,ID,moderate rain
17,Aklavik,68.2191,-135.0107,13.33,78,83,25.26,CA,broken clouds
18,Chitral,35.8462,71.7858,39.11,59,58,5.68,PK,broken clouds
19,Kahului,20.8947,-156.47,78.84,81,61,11.01,US,broken clouds
20,Kapustin Yar,48.5831,45.7372,13.57,56,0,11.03,RU,clear sky
21,Hilo,19.7297,-155.09,80.28,85,100,10.36,US,overcast clouds
22,Dali,25.7,100.1833,52.21,50,0,3.76,CN,clear sky
23,Mantamados,39.3117,26.3339,50.65,85,94,8.97,GR,overcast clouds
24,Klaksvik,62.2266,-6.589,43.72,93,100,6.31,FO,overcast clouds
25,Port-Gentil,-0.7193,8.7815,77.56,85,100,4.94,GA,light rain
26,Jamestown,42.097,-79.2353,36.01,57,100,12.66,US,overcast clouds
27,Dikson,73.5069,80.5464,28.31,93,100,22.28,RU,overcast clouds
28,Hithadhoo,-0.6,73.0833,82.69,71,100,11.79,MV,light rain
29,Victoria,22.2855,114.1577,70.32,82,59,8.99,HK,broken clouds
30,Mataura,-46.1927,168.8643,61.56,55,99,10.09,NZ,light rain
31,Tiksi,71.6872,128.8694,-9.63,94,100,18.43,RU,overcast clouds
32,Epe,6.5841,3.9834,76.78,92,10,3.71,NG,clear sky
33,Kapaa,22.0752,-159.319,80.58,68,8,4.0,US,clear sky
34,Birao,10.2849,22.7882,67.84,21,39,7.43,CF,scattered clouds
35,Fortuna,40.5982,-124.1573,50.94,78,100,3.44,US,light rain
36,Saint John,45.2727,-66.0677,52.83,100,100,25.32,CA,heavy intensity rain
37,Praia Da Vitoria,38.7333,-27.0667,59.25,77,75,34.4,PT,broken clouds
38,Abu Dhabi,24.4667,54.3667,71.62,78,0,2.3,AE,clear sky
39,Butaritari,3.0707,172.7902,81.09,78,14,13.18,KI,few clouds
40,Bluff,-46.6,168.3333,57.72,75,100,28.45,NZ,light rain
41,Husavik,66.0449,-17.3389,30.63,80,4,10.33,IS,clear sky
42,Saint George,37.1041,-113.5841,55.94,46,0,8.05,US,clear sky
43,Nouadhibou,20.931,-17.0347,64.38,88,0,9.22,MR,clear sky
44,Cherskiy,68.75,161.3,6.28,96,100,4.05,RU,light snow
45,Chernigovka,44.3389,132.5728,9.21,52,69,15.12,RU,broken clouds
46,San Quintin,30.4833,-115.95,63.54,71,100,2.91,MX,overcast clouds
47,Berlevag,70.8578,29.0864,26.55,74,33,4.61,NO,scattered clouds
48,Poum,-20.2333,164.0167,80.26,81,100,10.92,NC,light rain
49,Barrow,71.2906,-156.7887,10.87,85,95,10.16,US,overcast clouds
50,Nikolskoye,59.7035,30.7861,22.91,88,100,8.23,RU,overcast clouds
51,Tigre,-34.426,-58.5796,73.35,64,0,6.91,AR,clear sky
52,Pangnirtung,66.1451,-65.7125,5.61,70,100,9.95,CA,overcast clouds
53,Akyab,20.15,92.9,75.9,79,21,4.34,MM,few clouds
54,Vaini,-21.2,-175.2,84.36,84,75,9.22,TO,broken clouds
